city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
krakow,tenement,58.3,2.0,4.0,5.0,50.052964,19.948618,0.77,113.0,0.131,0.758,0.044,0.361,0.014,0.488,0.049,False,True,True,False,False,1300000,93.0,0.014,1.357,0.03430531732418525
krakow,tenement,49.0,2.0,3.0,5.0,50.051008,19.940336,0.5,120.0,0.233,0.437,0.092,0.141,0.05,0.326,0.114,False,True,True,False,False,1104700,104.0,0.05,1.0670000000000002,0.04081632653061224
krakow,apartmentBuilding,33.8,1.0,2.0,2.0,50.067924,19.952309,1.72,34.0,0.061,0.32,0.353,0.706,0.045,0.774,0.266,False,True,True,False,False,895700,19.0,0.045,1.751,0.02958579881656805
krakow,blockOfFlats,39.98,2.0,3.0,4.0,50.0711,19.9172,2.32,32.0,0.233,0.22,0.19,0.114,0.144,0.183,0.09,False,True,True,False,False,623900,1.0,0.09,0.991,0.05002501250625313
krakow,apartmentBuilding,42.0,2.0,3.0,11.0,50.0125,19.9792,5.58,7.0,0.319,0.781,0.488,0.351,0.491,1.658,0.317,True,True,True,True,True,713900,2.0,0.317,2.7470000000000003,0.047619047619047616
krakow,blockOfFlats,85.4,3.0,3.0,4.0,50.0473502,19.9234433,1.39,16.0,0.149,0.781,0.505,0.274,0.278,0.539,0.177,True,True,False,False,False,1488000,27.0,0.149,2.164,0.0351288056206089
krakow,blockOfFlats,42.0,2.0,8.0,9.0,50.06574,19.96776,2.39,16.0,0.323,0.283,0.671,0.422,0.033,0.436,0.114,True,False,True,False,True,730000,54.0,0.033,1.846,0.047619047619047616
krakow,apartmentBuilding,67.02,2.0,4.0,4.0,50.085255,19.849302,7.18,5.0,0.159,2.104,0.454,0.323,0.411,3.524,0.048,False,True,True,False,True,930000,5.0,0.048,3.499,0.029841838257236648
krakow,unknown,72.0,4.0,1.0,10.0,50.0228,19.9999,5.69,2.0,0.691,1.162,0.619,0.586,0.227,1.66,0.834,False,True,True,False,True,1080000,44.0,0.227,4.118999999999999,0.05555555555555555
krakow,apartmentBuilding,55.0,2.0,1.0,3.0,50.0131,19.9687,5.17,14.0,0.452,0.261,0.267,0.442,0.229,1.068,0.225,True,True,True,True,False,799000,11.0,0.225,1.8760000000000003,0.03636363636363636
krakow,unknown,41.24,2.0,2.0,2.0,50.0259406,19.9199088,3.52,20.0,0.234,0.209,0.525,0.117,0.125,2.014,0.123,False,False,False,False,False,699000,3.0,0.117,1.333,0.04849660523763336
krakow,blockOfFlats,63.67,3.0,3.0,4.0,49.9986,19.8934,7.08,5.0,0.229,0.982,0.176,0.197,0.197,4.701,0.152,False,False,True,False,False,795000,4.0,0.152,1.933,0.04711795193968902
krakow,blockOfFlats,46.61,2.0,3.0,2.0,50.06767,20.04563,7.77,15.0,0.278,0.213,0.565,0.163,0.201,1.316,0.096,False,False,False,False,True,610000,19.0,0.096,1.5160000000000002,0.04290924694271615
krakow,blockOfFlats,85.4,3.0,3.0,4.0,50.0472331,19.92299814,1.42,14.0,0.117,0.783,0.533,0.302,0.302,0.507,0.18,True,True,False,False,True,1488000,27.0,0.117,2.217,0.0351288056206089
krakow,blockOfFlats,48.3,2.0,3.0,3.0,50.07410821,20.03700256,7.34,28.0,0.373,1.131,0.402,0.155,0.09,0.372,0.118,False,False,False,False,True,648000,74.0,0.09,2.2689999999999997,0.041407867494824016
krakow,blockOfFlats,45.0,3.0,1.0,1.0,50.040493,19.992113,4.17,5.0,0.357,0.371,0.501,0.195,0.322,1.003,0.54,True,True,False,False,False,760500,19.0,0.195,2.2860000000000005,0.06666666666666667
krakow,unknown,37.9,2.0,1.0,5.0,50.064991,19.994001,4.11,5.0,1.004,0.803,0.523,0.804,0.093,2.293,0.287,True,True,True,False,False,754210,2.0,0.093,3.5140000000000002,0.052770448548812667
krakow,tenement,131.4,4.0,1.0,2.0,50.0600273,19.9389841,0.53,196.0,0.217,0.626,0.162,0.309,0.023,0.485,0.145,False,True,False,False,True,2100000,111.0,0.023,1.4819999999999998,0.030441400304414
krakow,blockOfFlats,37.0,2.0,4.0,7.0,50.0492984,19.9620819,1.81,18.0,0.123,0.082,0.535,0.14,0.029,0.838,0.518,False,True,True,False,False,840000,6.0,0.029,1.427,0.05405405405405406
krakow,apartmentBuilding,51.0,2.0,1.0,6.0,50.0848099,19.8987215,4.34,11.0,0.255,0.652,0.331,0.201,0.211,1.355,0.368,True,True,True,False,False,798000,16.0,0.201,2.0180000000000002,0.0392156862745098
krakow,apartmentBuilding,75.61,4.0,3.0,4.0,50.0492468,19.9592908,1.63,24.0,0.168,0.248,0.533,0.319,0.034,0.732,0.431,True,True,True,False,True,1512000,14.0,0.034,1.733,0.052903055151434994
krakow,blockOfFlats,45.68,2.0,1.0,2.0,50.0771799,19.8801416,4.82,7.0,0.207,0.537,0.41,0.344,0.479,1.148,0.512,False,True,True,False,False,808536,1.0,0.207,2.489,0.043782837127845885
krakow,tenement,123.0,6.0,4.0,4.0,50.0625,19.9381,0.8,202.0,0.129,0.376,0.364,0.541,0.008,0.207,0.102,False,True,False,False,False,2600000,19.0,0.008,1.5200000000000002,0.04878048780487805
krakow,blockOfFlats,48.0,3.0,7.0,10.0,50.071464,19.90448,3.02,18.0,0.193,0.325,0.137,0.312,0.085,0.711,0.216,False,True,True,False,True,995000,19.0,0.085,1.268,0.0625
krakow,blockOfFlats,50.58,2.0,3.0,1.0,50.0741,20.038,7.41,27.0,0.31,1.091,0.401,0.087,0.094,0.42,0.111,False,False,False,False,True,790000,69.0,0.087,2.0940000000000003,0.039541320680110716
krakow,blockOfFlats,34.05,1.0,1.0,3.0,50.0165,19.9091,4.8,6.0,0.913,0.621,0.32,0.152,0.332,3.124,0.26,False,False,False,True,True,499000,20.0,0.152,2.598,0.029368575624082235
krakow,tenement,68.0,2.0,1.0,2.0,50.07177154,19.93587474,1.84,31.0,0.231,0.259,0.26,0.278,0.141,0.215,0.2,False,False,False,False,False,1400000,19.0,0.141,1.369,0.029411764705882353
krakow,tenement,93.0,3.0,3.0,5.0,50.05584378,19.90920067,2.09,4.0,0.371,0.784,0.649,0.706,0.21,0.681,0.662,True,True,False,False,True,1595000,90.0,0.21,3.3819999999999997,0.03225806451612903
krakow,tenement,133.35,4.0,3.0,3.0,50.0698411,19.9358211,1.63,37.0,0.095,0.471,0.209,0.264,0.105,0.349,0.085,False,False,False,False,True,2200000,113.0,0.085,1.2289999999999999,0.029996250468691414
krakow,tenement,70.0,2.0,2.0,4.0,50.0713956,19.954938,2.14,14.0,0.444,0.328,0.414,0.4,0.252,0.899,0.174,False,True,False,False,True,1190000,104.0,0.174,2.012,0.02857142857142857
krakow,unknown,35.04,2.0,3.0,3.0,50.1057459,20.0494629,9.71,0.0,1.173,2.548,1.4,1.189,1.145,3.407,1.358,False,False,False,False,False,519999,1.0,1.145,8.813,0.05707762557077626
krakow,apartmentBuilding,53.25,2.0,5.0,5.0,50.0749037,19.9312048,2.24,25.0,0.556,0.17,0.306,0.129,0.128,0.305,0.132,True,True,True,True,False,1150000,0.0,0.128,1.4210000000000003,0.03755868544600939
krakow,blockOfFlats,87.8,4.0,2.0,2.0,50.075265,19.9104023,2.99,13.0,0.414,0.416,0.556,0.336,0.186,0.501,0.032,True,True,False,False,True,1600000,53.0,0.032,1.9400000000000002,0.04555808656036447
krakow,blockOfFlats,49.22,3.0,3.0,4.0,50.03466,19.99999,4.96,4.0,0.195,1.123,0.427,0.841,0.368,0.479,0.631,False,False,True,False,False,899000,1.0,0.195,3.585,0.060950832994717596
krakow,blockOfFlats,91.0,4.0,1.0,1.0,50.0687525,19.8511709,6.41,1.0,1.121,2.754,1.408,2.154,0.35,3.145,1.797,True,True,False,True,False,2499000,1.0,0.35,9.584,0.04395604395604396
krakow,blockOfFlats,56.0,4.0,3.0,10.0,50.0968,20.0025,6.5,20.0,0.133,1.337,0.315,0.124,0.248,0.447,0.248,False,True,True,False,False,777000,19.0,0.124,2.4050000000000002,0.07142857142857142
krakow,tenement,31.0,1.0,3.0,3.0,50.0455822,19.9523315,1.47,42.0,0.165,0.748,0.152,0.535,0.052,1.005,0.206,True,False,False,False,False,449000,94.0,0.052,1.858,0.03225806451612903
krakow,tenement,32.0,1.0,3.0,1.0,50.0667,19.9214,1.76,21.0,0.117,0.775,0.102,0.464,0.075,0.737,0.208,False,False,False,False,False,432000,49.0,0.075,1.7409999999999999,0.03125
krakow,apartmentBuilding,46.5,2.0,3.0,5.0,50.0697432,19.95246544,1.89,23.0,0.242,0.423,0.479,0.607,0.244,0.879,0.312,True,False,True,False,False,1199000,8.0,0.242,2.307,0.043010752688172046
krakow,tenement,105.7,4.0,3.0,4.0,50.0625664,19.9316025,0.94,146.0,0.115,0.297,0.339,0.264,0.098,0.292,0.044,False,True,False,False,False,1790000,78.0,0.044,1.1570000000000003,0.03784295175023652
krakow,blockOfFlats,73.22,3.0,3.0,5.0,50.0989,19.9551,4.99,6.0,0.616,0.726,0.336,0.436,0.166,2.477,0.316,False,True,True,False,False,979000,15.0,0.166,2.596,0.040972411909314395
krakow,blockOfFlats,34.0,2.0,3.0,15.0,50.0792344,19.8899578,4.37,16.0,0.426,0.427,0.332,0.246,0.202,0.785,0.234,False,False,False,False,False,550000,56.0,0.202,1.867,0.058823529411764705
krakow,unknown,32.0,3.0,3.0,3.0,50.0698411,19.9358211,1.63,37.0,0.095,0.471,0.209,0.264,0.105,0.349,0.085,False,False,False,False,False,469000,134.0,0.085,1.2289999999999999,0.09375
krakow,blockOfFlats,43.0,2.0,3.0,3.0,50.06465,19.94498,1.14,94.0,0.217,0.403,0.102,0.623,0.042,0.484,0.055,False,True,False,False,False,649000,54.0,0.042,1.442,0.046511627906976744
krakow,blockOfFlats,41.0,2.0,3.0,4.0,50.0824446,20.0191705,6.5,23.0,0.211,1.14,0.201,0.078,0.368,1.223,0.138,False,True,False,False,True,515000,59.0,0.078,2.136,0.04878048780487805
krakow,apartmentBuilding,72.9,3.0,3.0,3.0,50.0569237,19.904062,2.46,5.0,0.132,0.756,1.032,0.326,0.176,0.927,0.551,False,False,False,False,False,1650000,13.0,0.132,2.9730000000000003,0.0411522633744856
krakow,apartmentBuilding,30.0,1.0,5.0,5.0,50.0410216,19.9383837,1.59,25.0,0.111,0.734,0.373,0.178,0.28,0.802,0.3,True,True,True,False,False,850000,1.0,0.111,1.976,0.03333333333333333
krakow,apartmentBuilding,40.84,2.0,4.0,7.0,50.0257,19.96114,3.67,2.0,0.437,0.655,0.502,0.628,0.314,2.162,0.658,False,True,True,True,False,695000,1.0,0.314,3.194,0.04897159647404505
krakow,unknown,77.0,4.0,1.0,6.0,50.047567,19.973236,2.63,7.0,0.865,0.726,0.365,0.514,0.336,1.572,0.334,True,True,True,False,False,1439000,1.0,0.334,3.1399999999999997,0.05194805194805195
krakow,blockOfFlats,35.5,2.0,3.0,3.0,50.0863216,19.915275,3.83,19.0,0.162,1.373,0.234,0.218,0.233,1.088,0.29,True,False,False,False,False,599950,6.0,0.162,2.51,0.056338028169014086
krakow,blockOfFlats,71.68,4.0,3.0,3.0,50.0863216,19.915275,3.83,19.0,0.162,1.373,0.234,0.218,0.233,1.088,0.29,True,False,False,False,False,1211392,6.0,0.162,2.51,0.055803571428571425
krakow,unknown,96.62,4.0,1.0,3.0,50.07389,19.89623,3.65,12.0,0.268,0.551,0.52,0.139,0.252,0.152,0.356,False,True,False,False,False,2120809,1.0,0.139,2.086,0.04139929621196439
krakow,unknown,77.16,3.0,1.0,3.0,50.069,19.89208,3.64,3.0,0.534,0.622,0.937,0.639,0.243,0.473,0.618,False,True,False,False,False,1361874,1.0,0.243,3.593,0.038880248833592534
krakow,tenement,110.0,5.0,3.0,4.0,50.0602,19.9375,0.55,196.0,0.316,0.556,0.105,0.413,0.004,0.465,0.101,False,True,True,False,False,1690000,19.0,0.004,1.495,0.045454545454545456
krakow,blockOfFlats,52.0,3.0,3.0,4.0,50.09759903,19.99570084,6.23,11.0,0.574,1.825,0.352,0.373,0.256,0.733,0.394,True,True,False,True,False,823000,44.0,0.256,3.774,0.057692307692307696
krakow,blockOfFlats,47.8,3.0,7.0,7.0,50.06932587,19.90868297,2.64,24.0,0.098,0.431,0.28,0.226,0.117,0.635,0.336,True,True,True,False,True,1250000,48.0,0.098,1.4880000000000002,0.06276150627615062
krakow,blockOfFlats,63.5,3.0,2.0,3.0,50.1027787,19.8733288,7.03,0.0,1.059,1.123,1.658,1.773,1.85,3.659,2.036,False,True,True,True,False,849000,2.0,1.059,9.498999999999999,0.047244094488188976
krakow,blockOfFlats,63.53,4.0,2.0,3.0,49.98857,19.90451,7.81,0.0,0.692,1.014,1.303,0.798,1.308,4.309,1.361,True,True,False,True,False,849000,7.0,0.692,6.476,0.06296237997796317
krakow,unknown,36.83,2.0,1.0,9.0,50.10089,20.00956,7.17,12.0,0.353,1.183,0.278,0.29,0.393,1.024,0.197,False,True,False,False,False,589280,0.0,0.197,2.694,0.054303556882975834
krakow,unknown,77.33,3.0,3.0,9.0,50.10089,20.00956,7.17,12.0,0.353,1.183,0.278,0.29,0.393,1.024,0.197,False,False,True,False,False,866096,0.0,0.197,2.694,0.0387947756368809
krakow,blockOfFlats,45.68,2.0,1.0,2.0,50.0771799,19.8801416,4.82,7.0,0.207,0.537,0.41,0.344,0.479,1.148,0.512,False,True,True,False,False,808536,1.0,0.207,2.489,0.043782837127845885
krakow,blockOfFlats,25.0,1.0,8.0,10.0,50.0854,19.91646,3.7,18.0,0.086,1.332,0.346,0.171,0.301,0.981,0.316,False,False,True,False,False,470000,19.0,0.086,2.552,0.04
krakow,blockOfFlats,25.15,1.0,2.0,4.0,50.0185,19.9861,5.32,21.0,0.39,1.251,0.259,0.288,0.067,2.416,0.078,False,True,False,False,True,399000,19.0,0.067,2.3329999999999997,0.039761431411530816
krakow,blockOfFlats,37.56,2.0,2.0,4.0,50.03581,20.00069,4.94,4.0,0.222,1.101,0.47,0.711,0.483,0.368,0.507,False,True,True,False,False,729000,0.0,0.222,3.494,0.05324813631522896
krakow,blockOfFlats,105.0,5.0,1.0,2.0,50.1067638,19.9629639,5.98,2.0,0.438,1.653,1.065,0.615,0.052,3.234,0.683,True,True,False,False,False,1390000,0.0,0.052,4.506,0.047619047619047616
krakow,tenement,38.6,2.0,3.0,2.0,50.0477272,19.9674211,2.23,18.0,0.451,0.316,0.587,0.139,0.174,1.229,0.413,True,False,False,False,False,595000,19.0,0.139,2.08,0.05181347150259067
krakow,blockOfFlats,59.0,3.0,5.0,11.0,50.0925077,19.9850655,5.31,6.0,0.425,2.024,0.369,0.553,0.337,1.261,0.351,False,True,False,False,False,829000,13.0,0.337,4.058999999999999,0.05084745762711865
krakow,tenement,27.0,1.0,3.0,3.0,50.0691985,19.9303642,1.65,45.0,0.127,0.401,0.209,0.219,0.214,0.406,0.255,False,False,False,False,False,765000,138.0,0.127,1.4249999999999998,0.037037037037037035
krakow,blockOfFlats,44.86,2.0,1.0,3.0,50.021218,20.058353,9.36,0.0,1.222,4.037,0.592,0.597,0.579,4.194,0.614,False,True,False,False,False,580000,23.0,0.579,7.641,0.04458314757021846
krakow,apartmentBuilding,52.0,2.0,4.0,4.0,50.0965167,19.9470611,4.62,9.0,0.35,0.822,0.311,0.377,0.374,1.89,0.265,True,True,False,False,True,734000,42.0,0.265,2.499,0.038461538461538464
krakow,tenement,77.0,3.0,2.0,3.0,50.0713956,19.954938,2.14,14.0,0.444,0.328,0.414,0.4,0.252,0.899,0.174,False,True,False,False,True,1490000,134.0,0.174,2.012,0.03896103896103896
krakow,blockOfFlats,56.25,3.0,3.0,3.0,50.05345,19.929677,0.66,34.0,0.393,0.696,0.295,0.526,0.036,0.541,0.08,False,False,True,False,False,894375,4.0,0.036,2.026,0.05333333333333334
krakow,blockOfFlats,33.0,1.0,3.0,1.0,50.07857095,20.04507162,8.04,30.0,0.169,1.425,0.09,0.175,0.075,0.824,0.084,False,False,False,False,False,490000,74.0,0.075,2.0180000000000002,0.030303030303030304
krakow,blockOfFlats,66.7,3.0,4.0,4.0,50.0942028,19.9515463,4.43,12.0,0.336,0.415,0.266,0.208,0.275,1.945,0.061,False,True,False,False,True,875000,44.0,0.061,1.561,0.04497751124437781
krakow,apartmentBuilding,55.55,3.0,1.0,5.0,50.0409078,19.9830911,3.57,5.0,0.777,0.283,0.159,0.289,0.523,1.633,0.609,False,False,True,False,False,994345,2.0,0.159,2.64,0.05400540054005401
krakow,apartmentBuilding,63.01,4.0,1.0,6.0,50.0449412,19.957298,1.77,28.0,0.21,0.563,0.257,0.554,0.018,1.146,0.053,False,False,True,False,False,1543745,2.0,0.018,1.6549999999999998,0.06348198698619267
krakow,apartmentBuilding,34.59,2.0,4.0,5.0,50.0449412,19.957298,1.77,28.0,0.21,0.563,0.257,0.554,0.018,1.146,0.053,False,False,True,False,False,847455,2.0,0.018,1.6549999999999998,0.05782017924255565
krakow,blockOfFlats,44.5,2.0,1.0,2.0,50.0207836,20.0469294,8.65,8.0,0.447,3.383,0.311,0.324,0.325,3.499,0.205,True,False,False,True,False,589000,27.0,0.205,4.995,0.0449438202247191
krakow,unknown,50.0,3.0,2.0,4.0,50.0763458,19.9637033,2.95,12.0,0.281,0.549,0.429,0.352,0.27,1.306,0.439,True,True,False,False,True,845000,19.0,0.27,2.3200000000000003,0.06
krakow,blockOfFlats,52.0,2.0,3.0,3.0,50.07904,20.03114,7.12,20.0,0.247,1.709,0.242,0.321,0.117,0.317,0.102,True,True,False,False,True,650000,65.0,0.102,2.738,0.038461538461538464
krakow,blockOfFlats,72.55,4.0,4.0,4.0,50.06389036,19.96973667,2.43,20.0,0.341,0.492,0.614,0.176,0.153,0.567,0.317,False,True,False,False,False,1090000,31.0,0.153,2.093,0.05513439007580979
krakow,unknown,80.0,4.0,1.0,1.0,50.0836,19.8754,5.49,6.0,0.483,0.492,0.875,0.231,0.182,1.825,0.543,True,True,False,False,False,1080000,16.0,0.182,2.806,0.05
krakow,tenement,65.38,2.0,3.0,5.0,50.0598517,19.9463016,0.76,61.0,0.292,0.248,0.252,0.284,0.103,0.765,0.177,False,True,False,False,True,1650000,99.0,0.103,1.356,0.03059039461609055
krakow,blockOfFlats,48.7,3.0,3.0,3.0,50.06389036,19.96973667,2.43,20.0,0.341,0.492,0.614,0.176,0.153,0.567,0.317,False,True,False,False,True,950000,26.0,0.153,2.093,0.061601642710472276
krakow,apartmentBuilding,77.0,4.0,1.0,6.0,50.0468638,19.9708564,2.5,12.0,0.71,0.579,0.433,0.336,0.215,1.479,0.221,True,True,True,False,True,1439000,1.0,0.215,2.4939999999999998,0.05194805194805195
krakow,tenement,60.67,2.0,3.0,3.0,50.075265,19.9104023,2.99,13.0,0.414,0.416,0.556,0.336,0.186,0.501,0.032,False,True,False,False,True,1020000,88.0,0.032,1.9400000000000002,0.03296522169111587
krakow,blockOfFlats,82.0,4.0,3.0,3.0,50.0060411,20.0085459,7.42,9.0,0.204,0.46,0.514,0.236,0.27,3.486,0.228,False,True,False,False,True,1312000,34.0,0.204,1.912,0.04878048780487805
krakow,unknown,85.0,3.0,3.0,2.0,50.07067,19.89144,3.77,3.0,0.345,0.667,0.972,0.552,0.2,0.343,0.657,False,False,True,False,False,1699000,19.0,0.2,3.3930000000000002,0.03529411764705882
krakow,blockOfFlats,35.3,2.0,8.0,10.0,50.0137736,19.9649584,4.99,7.0,0.729,0.358,0.307,0.402,0.091,0.96,0.151,False,True,True,False,True,495000,44.0,0.091,2.038,0.056657223796034
krakow,tenement,109.0,4.0,1.0,4.0,50.060714,19.943726,0.71,124.0,0.215,0.36,0.147,0.237,0.027,0.565,0.194,False,False,False,False,False,2600000,118.0,0.027,1.18,0.03669724770642202
krakow,tenement,80.0,3.0,2.0,2.0,50.0673945,19.9545319,1.77,32.0,0.098,0.355,0.188,0.622,0.084,0.607,0.334,False,False,False,False,False,1440000,118.0,0.084,1.681,0.0375
krakow,blockOfFlats,26.0,1.0,3.0,5.0,50.09404513,19.9288559,4.36,18.0,0.181,0.525,0.288,0.108,0.455,1.168,0.081,True,False,True,False,False,639000,7.0,0.081,1.6380000000000001,0.038461538461538464
krakow,tenement,96.0,5.0,2.0,3.0,50.0708942,19.920488,2.16,33.0,0.233,0.347,0.174,0.122,0.188,0.369,0.223,False,False,False,False,False,1999000,19.0,0.122,1.2870000000000001,0.052083333333333336
krakow,blockOfFlats,52.48,3.0,3.0,2.0,50.0204,19.9558,4.07,10.0,0.389,0.7,0.324,0.412,0.094,1.569,0.602,True,True,True,True,False,944500,3.0,0.094,2.521,0.057164634146341466
krakow,blockOfFlats,53.1,3.0,4.0,5.0,50.0487068,19.9649421,2.03,20.0,0.271,0.126,0.546,0.098,0.105,1.025,0.614,False,True,False,False,True,970000,44.0,0.098,1.7600000000000002,0.05649717514124294
krakow,blockOfFlats,46.0,2.0,3.0,2.0,50.0677,20.0456,7.77,15.0,0.274,0.217,0.564,0.165,0.198,1.312,0.092,True,False,False,False,True,610000,74.0,0.092,1.51,0.043478260869565216
krakow,blockOfFlats,41.0,2.0,5.0,10.0,50.0133907,20.005597,6.69,19.0,0.207,0.318,0.339,0.128,0.233,2.661,0.283,False,True,True,False,True,630000,19.0,0.128,1.508,0.04878048780487805
krakow,tenement,41.27,2.0,3.0,4.0,50.0541,19.9356,0.24,55.0,0.171,0.887,0.119,0.203,0.12,0.217,0.345,True,False,True,False,True,1070000,124.0,0.119,1.845,0.0484613520717228
krakow,blockOfFlats,56.0,4.0,3.0,10.0,50.099902,19.997177,6.49,4.0,0.53,1.822,0.539,0.396,0.268,0.885,0.563,False,True,True,False,True,777000,54.0,0.268,4.118,0.07142857142857142
krakow,tenement,57.0,2.0,2.0,3.0,50.0456084,19.9576429,1.74,26.0,0.267,0.493,0.257,0.533,0.032,1.077,0.061,False,False,False,False,False,990000,113.0,0.032,1.6429999999999998,0.03508771929824561
krakow,unknown,61.73,3.0,4.0,5.0,50.07844,19.90747,3.39,6.0,0.575,0.826,0.565,0.259,0.299,0.894,0.416,False,True,False,False,False,1098000,15.0,0.259,2.9399999999999995,0.04859873643285275
krakow,unknown,37.0,2.0,9.0,10.0,50.083426,19.8728125,5.63,4.0,0.668,0.657,1.021,0.416,0.242,1.956,0.713,False,False,True,False,True,679000,24.0,0.242,3.717,0.05405405405405406
krakow,apartmentBuilding,36.09,2.0,3.0,7.0,50.0492984,19.9620819,1.81,18.0,0.123,0.082,0.535,0.14,0.029,0.838,0.518,False,True,True,False,False,860000,6.0,0.029,1.427,0.055417013022998056
krakow,blockOfFlats,25.0,1.0,3.0,4.0,50.0183648,19.9834133,5.21,16.0,0.198,1.063,0.068,0.107,0.169,2.25,0.052,False,False,False,False,True,499000,19.0,0.052,1.657,0.04
krakow,blockOfFlats,58.84,2.0,1.0,4.0,50.023778,19.903611,4.3,12.0,0.895,0.355,0.588,0.075,0.025,2.473,0.263,False,True,False,False,False,815000,14.0,0.025,2.201,0.03399048266485384
krakow,blockOfFlats,61.62,3.0,3.0,12.0,50.07720665,19.92727369,2.56,21.0,0.342,0.417,0.273,0.226,0.042,0.672,0.188,False,True,True,False,True,830000,31.0,0.042,1.488,0.04868549172346641
krakow,blockOfFlats,56.0,4.0,3.0,10.0,50.09958561,19.99769211,6.49,7.0,0.481,1.774,0.497,0.346,0.218,0.837,0.519,False,True,True,False,False,800000,54.0,0.218,3.835,0.07142857142857142
krakow,unknown,53.22,2.0,3.0,2.0,50.003103,19.9053923,6.27,7.0,0.866,0.629,0.562,0.176,0.078,3.781,0.313,False,True,False,False,True,699000,24.0,0.078,2.6240000000000006,0.03757985719654265
krakow,blockOfFlats,47.47,2.0,4.0,5.0,50.0711,19.9172,2.32,32.0,0.233,0.22,0.19,0.114,0.144,0.183,0.09,False,True,True,False,False,699000,19.0,0.09,0.991,0.04213187276174426
krakow,blockOfFlats,57.0,3.0,2.0,5.0,50.10202,19.95841,5.39,6.0,0.434,1.071,0.508,0.065,0.328,2.889,0.481,False,True,True,False,False,760000,1.0,0.065,2.8869999999999996,0.05263157894736842
krakow,apartmentBuilding,103.39,5.0,3.0,3.0,50.096,19.914,4.85,3.0,0.489,1.523,1.037,0.129,0.689,1.789,0.206,True,True,False,True,True,1327549,21.0,0.129,4.073,0.04836057645807138
krakow,unknown,44.0,2.0,4.0,6.0,50.092531,19.987822,5.44,5.0,0.294,2.205,0.208,0.505,0.506,1.064,0.194,False,True,True,False,False,799000,8.0,0.194,3.912,0.045454545454545456
krakow,blockOfFlats,42.0,2.0,8.0,10.0,50.0659494,19.9700043,2.55,15.0,0.453,0.44,0.625,0.396,0.031,0.597,0.276,False,False,True,False,False,717000,35.0,0.031,2.221,0.047619047619047616
krakow,tenement,33.7,2.0,3.0,3.0,50.045788,19.9524029,1.45,42.0,0.167,0.747,0.172,0.557,0.076,1.003,0.215,False,False,False,False,False,599000,19.0,0.076,1.9340000000000004,0.05934718100890207
krakow,apartmentBuilding,45.58,3.0,2.0,2.0,50.0456577,20.0001457,4.53,4.0,0.595,1.117,0.023,0.34,0.601,0.996,0.594,True,True,True,False,False,850000,1.0,0.023,3.2699999999999996,0.06581834137779728
krakow,apartmentBuilding,63.0,3.0,2.0,4.0,50.0031737,19.8956801,6.55,5.0,0.556,1.025,0.478,0.443,0.463,4.472,0.353,True,True,True,False,False,944900,4.0,0.353,3.3180000000000005,0.047619047619047616
krakow,tenement,42.0,2.0,2.0,4.0,50.0496,19.9489,0.98,116.0,0.119,0.546,0.406,0.61,0.081,0.732,0.405,False,True,False,False,False,714000,104.0,0.081,2.167,0.047619047619047616
krakow,apartmentBuilding,77.0,4.0,1.0,6.0,50.04719,19.97064,2.47,12.0,0.688,0.554,0.466,0.324,0.252,1.444,0.259,False,True,True,False,False,1439000,1.0,0.252,2.5429999999999997,0.05194805194805195
krakow,unknown,34.0,2.0,3.0,15.0,50.07716,19.88916,4.28,13.0,0.37,0.537,0.32,0.196,0.224,0.621,0.448,False,False,False,False,True,550000,19.0,0.196,2.095,0.058823529411764705
krakow,tenement,98.9,3.0,3.0,2.0,50.093935,19.9288559,4.35,19.0,0.177,0.516,0.297,0.101,0.449,1.156,0.088,False,True,False,False,False,1690000,90.0,0.088,1.6280000000000001,0.030333670374115267
krakow,unknown,46.0,3.0,3.0,3.0,50.076,19.9016,3.49,13.0,0.265,0.687,0.27,0.148,0.097,0.598,0.093,False,True,False,False,True,767000,74.0,0.093,1.5599999999999998,0.06521739130434782
krakow,blockOfFlats,40.0,2.0,2.0,4.0,50.0454769,20.05657,8.5,0.0,0.671,2.318,0.956,2.465,1.335,3.774,2.385,True,True,True,False,False,620000,1.0,0.671,10.129999999999999,0.05
krakow,blockOfFlats,44.1,2.0,4.0,5.0,50.0687818,19.9433106,1.54,50.0,0.124,0.647,0.194,0.443,0.111,0.612,0.202,True,True,True,True,False,1050000,16.0,0.111,1.721,0.045351473922902494
krakow,blockOfFlats,54.5,2.0,3.0,4.0,50.076924,20.027293,6.78,17.0,0.149,1.825,0.344,0.088,0.284,0.469,0.244,False,False,False,False,True,650000,64.0,0.088,2.934,0.03669724770642202
krakow,tenement,81.0,3.0,4.0,4.0,50.0550268,19.9437165,0.38,145.0,0.087,0.793,0.403,0.398,0.083,0.554,0.2,False,True,True,False,False,1960000,94.0,0.083,1.964,0.037037037037037035
krakow,blockOfFlats,38.0,2.0,9.0,10.0,50.08499288,19.91035388,3.86,22.0,0.228,1.408,0.224,0.168,0.071,1.404,0.06,False,False,True,False,True,680000,44.0,0.06,2.1590000000000003,0.05263157894736842
